ENK_x,ENK_y
2020-09-03,6 
2020-09-04,19
2020-09-05,15
2020-09-06,10
2020-09-07,46
2020-09-08,56
2020-09-09,101
2020-09-10,75
2020-09-11,70
2020-09-12,46
2020-09-13,87
2020-09-14,67
2020-09-15,136
2020-09-16,125
2020-09-17,137
2020-09-18,82
2020-09-19,190
2020-09-20,202
2020-09-21,157
2020-09-22,311
2020-09-23,189
2020-09-24,211
2020-09-25,217
2020-09-26,242
2020-09-27,141
2020-09-28,199
2020-09-29,238
2020-09-30,318
2020-10-01,203
